X, (x)^2 + 13
-444,162545
443,219329
-445,173948
444,107413
-446,293989
445,122108
-447,342320
446,65147
-448,144103
447,117952
-449,161493
448,100737
-450,294066
449,101761
-451,268938
450,80651
-452,65742
451,335975
-453,141056
452,165641
-454,124310
453,330494
-455,310306
454,190710
-456,215623
455,228769
-457,178444
456,328328
-458,93281
457,157353
-459,301996
458,127997
-460,218771
459,80260
-461,362149
460,164524
-462,297365
461,250527
-463,154124
462,100759
-464,170688
463,304931
-465,330290
464,109565
-466,303651
465,93189
-467,338538
466,230394
-468,252962
467,246634
-469,196640
468,209810
-470,142609
469,128200
-471,81189
470,107797
-472,113302
471,197787
-473,373559
472,196070
-474,120231
473,358910
-475,335448
474,182745
-476,155081
475,239714
-477,310708
476,131615
-478,281866
477,274522
-479,144562
478,374770
-480,212736
479,353219
-481,235185
480,247424
-482,220109
481,365030
-483,221979
482,296075
-484,234446
483,179065
-485,274998
484,294618
-486,141145
485,151534
-487,364786
486,206644
-488,102793
487,364352
-489,293371
488,119191
-490,278896
489,337762
-491,202804
490,328514
-492,212801
491,259978
-493,157000
492,240460
-494,285570
493,94057
-495,175120
494,129005
-496,192838
495,375140
-497,339784
496,181442
-498,326447
497,307379
-499,340507
498,361813
-500,317262
499,315850
-501,204595
500,357677
-502,133537
501,154704
-503,279574
502,197863
-504,304219
503,295493
-505,322786
504,355029
-506,183709
505,198157
-507,120757
506,191344
-508,345921
507,233420
-509,159166
508,264154
-510,282213
509,211322
-511,149251
510,329690
-512,329396
511,228852
-513,245567
512,410863
-514,270698
513,197223
-515,136801
514,205045
-516,348141
515,294237
-517,188535
516,339731
-518,200165
517,199868
-519,198272
518,189619
-520,319044
519,209638
-521,259815
520,166634
-522,308356
521,148403
-523,421022
522,339408
-524,144803
523,397854
-525,317179
524,388062
-526,197354
525,259766
-527,356676
526,318127
-528,254619
527,217448
-529,424025
528,293716
-530,346214
529,188638
-531,405994
530,262177
-532,178940
531,135068
-533,262482
532,414178
-534,421882
533,316318
-535,140472
534,298968
-536,273925
535,143315
-537,282129
536,337944
-538,371889
537,272772
-539,158658
538,181676
-540,272091
539,274172
-541,143170
540,278916
-542,164771
541,250875
-543,148956
542,385603
-544,182467
543,246590
-545,241413
544,194503
-546,396977
545,374176
-547,419703
546,177190
-548,170307
547,372597
-549,345386
548,176032
-550,389755
549,289474
-551,254843
550,342417
-552,276494
551,334084
-553,242921
552,340702
-554,422004
553,190722
-555,227306
554,455045
-556,263129
555,335065
-557,446239
556,456354
-558,188059
557,387032
-559,345436
558,365708
-560,314192
559,243864
-561,288119
560,179453
-562,282939
561,263666
-563,369676
562,292274
-564,225523
563,405995
-565,413088
564,195303
-566,358187
565,218166
-567,232840
566,284098
-568,230084
567,389918
-569,231995
568,469758
-570,412414
569,299719
-571,433168
570,199155
-572,474808
571,401900
-573,452179
572,356815
-574,348269
573,356407
-575,299285
574,285000
-576,463986
575,388002
-577,232120
576,448561
-578,399213
577,254220
-579,203365
578,242717
-580,344093
579,350463
-581,451444
580,219113
-582,298041
581,382294
-583,444556
582,467568
-584,241676
583,313966
-585,437787
584,207156
-586,382469
585,353370
-587,483067
586,217086
-588,250683
587,441595
-589,243666
588,467012
-590,426989
589,429829
-591,422561
590,421724
-592,271375
591,259179
-593,292831
592,487020
-594,464594
593,408414
-595,326531
594,219793
-596,240105
595,456519
-597,409452
596,386593
-598,449768
597,249524
-599,389824
598,305209
-600,437856
599,337816
-601,409411
600,506809
-602,458797
601,316028
-603,259877
602,363328
-604,445252
603,263752
-605,339819
604,415139
-606,346310
605,457661
-607,314292
606,333191
-608,448096
607,315881
-609,320253
608,237091
-610,226791
609,365406
-611,475352
610,373631
-612,494427
611,501869
-613,452375
612,305949
-614,376529
613,349428
-615,234988
614,270629
-616,302093
615,491740
-617,405054
616,381993
-618,509160
617,300881
-619,390874
618,362063
-620,371377
619,416236
-621,493596
620,372839
-622,423865
621,366679
-623,484716
622,277830
-624,353804
623,409440
-625,282204
624,262510
-626,403658
625,362774
-627,266368
626,461396
-628,466677
627,352010
-629,476440
628,338232
-630,376506
629,451810
-631,516366
630,426262
-632,489485
631,326541
-633,372808
632,532703
-634,363497
633,291519
-635,365748
634,452712
-636,363344
635,421831
-637,424609
636,353849
-638,277875
637,356940
-639,557541
638,520044
-640,320435
639,326709
-641,525391
640,319945
-642,278219
641,290728
-643,530718
642,321837
-644,281274
643,479885
-645,454100
644,355304
-646,440100
645,322138
-647,452239
646,359738
-648,301400
647,557319
-649,329887
648,365882
-650,568262
649,546110
-651,469251
650,300452
-652,479443
651,361038
-653,392161
652,498604
-654,332164
653,354180
-655,314398
654,315878
-656,379167
655,492046
-657,298036
656,498587
-658,485034
657,297059
-659,531039
658,394008
-660,504549
659,406941
-661,502883
660,549722
-662,481600
661,294685
-663,327492
662,319561
-664,570077
663,360696
-665,346870
664,415896
-666,474517
665,345641
-667,561731
666,319953
-668,306211
667,419938
-669,405335
668,356219
-670,314287
669,566043
-671,310103
670,450968
-672,467762
671,450661
-673,519360
672,340900
-674,407452
673,544226
-675,314594
674,513146
-676,446026
675,458883
-677,493891
676,551787
-678,567018
677,311450
-679,386974
678,378005
-680,467649
679,555309
-681,429511
680,551928
-682,365996
681,378627
-683,457717
682,537282
-684,498510
683,509068
-685,366791
684,384467
-686,327257
685,389051
-687,592470
686,554205
-688,543503
687,471747
-689,579876
688,336208
-690,451683
689,437157
-691,366398
690,536289
-692,529664
691,396570
-693,457299
692,569879
-694,630003
693,557236
-695,474129
694,573296
-696,384494
695,584666
-697,613225
696,380902
-698,442942
697,517166
-699,509372
698,434248
-700,540301
699,474760
-701,599387
700,369441
-702,529630
701,521575
-703,539605
702,578985
-704,558502
703,536842
-705,467843
704,530547
-706,392261
705,580446
-707,637384
706,482359
-708,514247
707,369188
-709,520505
708,593590
-710,498923
709,551358
-711,566753
710,536345
-712,517378
711,427976
-713,564291
712,473001
-714,633452
713,473960
-715,516789
714,530917
-716,474368
715,568887
-717,519035
716,495331
-718,647209
717,463043
-719,606553
718,384350
-720,403924
719,417193
-721,665031
720,667630
-722,576221
721,421808
-723,622307
722,426284
-724,426299
723,419118
-725,479105
724,551539
-726,583418
725,491407
-727,478631
726,673695
-728,456708
727,604894
-729,612614
728,414048
-730,486738
729,582519
-731,425590
730,432966
-732,622735
731,644574
-733,618250
732,420923
-734,623224
733,420275
-735,571368
734,583308
-736,420866
735,427090
-737,422328
736,506297
-738,591818
737,455204
-739,528953
738,409255
-740,644611
739,551997
-741,627052
740,654220
-742,540837
741,608005
-743,583701
742,642978
-744,446773
743,476319
-745,605180
744,482433
-746,701453
745,673411
-747,627980
746,534277
-748,674428
747,435968
-749,709788
748,535969
-750,529607
749,614630
-751,664995
750,472724
-752,567655
751,649055
-753,588559
752,494536
-754,437463
753,523967
-755,452629
754,441189
-756,517490
755,424351
-757,494317
756,678051
-758,429368
757,475270
-759,676571
758,637268
-760,431102
759,684586
-761,457953
760,591743
-762,563324
761,490827
-763,433943
762,440193
-764,546215
763,627247
-765,598735
764,556349
-766,697768
765,619903
-767,691841
766,450962
-768,685239
767,508373
-769,546539
768,472373
-770,574005
769,523924
-771,728021
770,516608
-772,618314
771,602320
-773,498849
772,738352
-774,537020
773,624859
-775,630668
774,726019
-776,609666
775,720044
-777,638635
776,590710
-778,601785
777,574469
-779,619911
778,536369
-780,464682
779,485470
-781,703276
780,627416
-782,489354
781,489147
-783,647512
782,518359
-784,473424
783,532210
-785,583272
784,747546
-786,618155
785,725949
-787,615230
786,493568
-788,645320
787,658532
-789,734296
788,731633
-790,755442
789,473545
-791,755539
790,663993
-792,771164
791,769934
-793,513327
792,639168
-794,717991
793,702316
-795,506844
794,488472
-796,633272
795,764241
-797,684280
796,614600
-798,523077
797,783393
-799,528153
798,488116
-800,613302
799,716437
-801,648687
800,660208
-802,607082
801,501256
-803,752424
802,780559
-804,673214
803,720668
-805,699623
804,790425
-806,507633
805,780628
-807,534006
806,734723
-808,546148
807,682363
-809,677905
808,617417
-810,602932
809,773748
-811,677722
810,716536
-812,607927
811,558755
-813,802568
812,564986
-814,776352
813,602586
-815,754087
814,600346
-816,650496
815,581104
-817,779737
816,774290
-818,797395
817,522327
-819,771983
818,733377
-820,797607
819,609880
-821,774226
820,805212
-822,588786
821,540765
-823,780869
822,806390
-824,797834
823,717721
-825,690490
824,545096
-826,602760
825,794066
-827,659528
826,828237
-828,832056
827,631280
-829,605996
828,790641
-830,573611
829,592054
-831,731024
830,652630
-832,761539
831,781776
-833,594986
832,557985
-834,597817
833,823148
-835,589300
834,652004
-836,625712
835,739888
-837,596504
836,809596
-838,827514
837,771781
-839,754311
838,704115
-840,824443
839,578991
-841,726569
840,794975
-842,573172
841,781528
-843,804327
842,661668
-844,759154
843,694260
-845,715606
844,836099
-846,839230
845,791383
-847,749491
846,765972
-848,610720
847,843281
-849,835354
848,812739
-850,787473
849,627484
-851,688764
850,777478
-852,864319
851,778000
-853,676208
852,790385
-854,793447
853,800216
-855,792537
854,625469
-856,764577
855,825490
-857,861945
856,747277
-858,603182
857,836803
-859,817458
858,598085
-860,651176
859,666982
-861,792142
860,646943
-862,778248
861,727297
-863,769545
862,723845
-864,821274
863,804850
-865,753905
864,835956
-866,896084
865,849252
-867,876891
866,611166
-868,756374
867,887812
-869,771304
868,638163
-870,886585
869,654218
-871,834644
870,833354
-872,889030
871,777143
-873,882103
872,695408
-874,791346
873,807214
-875,872239
874,774556
-876,746604
875,627371
-877,689175
876,730042
-878,826989
877,623756
-879,892909
878,848705
-880,794811
879,867193
-881,888957
880,902081
-882,778522
881,814698
-883,835450
882,756207
-884,812958
883,923391
-885,663075
884,720502
-886,790978
885,688318
-887,908264
886,931507
-888,915999
887,757107
-889,685000
888,650597
-890,853542
889,870970
-891,645655
890,659565
-892,702476
891,688581
-893,706230
892,923895
-894,862333
893,900693
-895,836400
894,718527
-896,752890
895,706449
-897,839747
896,863027
-898,779116
897,764378
-899,941847
898,855627
-900,750857
899,662232
-901,690726
900,795380
-902,912761
901,740418
-903,848163
902,935050
-904,750912
903,688620
-905,953554
904,711987
-906,730756
905,866607
-907,788368
906,772217
-908,970902
907,831208
-909,941913
908,900385
-910,897209
909,799017
-911,785056
910,766112
-912,855623
911,836668
-913,851615
912,720439
-914,835330
913,720515
-915,885926
914,930674
-916,864723
915,906282
-917,990062
916,810804
-918,981012
917,912201
-919,821965
918,940671
-920,947517
919,866619
-921,758062
920,725589
-922,777618
921,819529
-923,770427
922,958339
-924,1003712
923,798305
-925,764247
924,758067
-926,757434
925,857974
-927,973428
926,875475
-928,903675
927,753813
-929,996720
928,982691
-930,983017
929,912714
-931,795752
930,924264
-932,926507
931,874990
-933,1007913
932,933591
-934,869367
933,1020177
-935,738089
934,1014816
-936,883677
935,950602
-937,846594
936,840353
-938,884450
937,915516
-939,763658
938,827639
-940,904703
939,841375
-941,877715
940,846272
-942,755077
941,812623
-943,797850
942,878721
-944,941661
943,765352
-945,970246
944,916506
-946,809145
945,822600
-947,918078
946,958162
-948,826468
947,984693
-949,878227
948,821729
-950,889797
949,1005428
-951,764768
950,802417
-952,955397
951,1024522
-953,903962
952,925447
-954,1042044
953,928511
-955,873700
954,1012123
-956,879887
955,973584
-957,848559
956,1050411
-958,890508
957,904698
-959,788106
958,1052920
-960,1036464
959,826582
-961,1071449
960,841178
-962,853410
961,1001226
-963,807795
962,877600
-964,920043
963,1032332
-965,863413
964,907565
-966,845733
965,886627
-967,963165
966,1072304
-968,839138
967,893666
-969,1024107
968,1043051
-970,820582
969,1074422
-971,921847
970,1018867
-972,900352
971,1060873
-973,885729
972,938665
-974,1070312
973,1018350
-975,906562
974,1080397
-976,1013212
975,931394
-977,908146
976,938835
-978,975576
977,1045095
-979,813797
978,926727
-980,1046104
979,978509
-981,986770
980,907871
-982,885194
981,1105798
-983,831134
982,930931
-984,1026553
983,881527
-985,1099529
984,891307
-986,1066265
985,876906
-987,1053435
986,953670
-988,1119493
987,863178
-989,1076173
988,1065110
-990,1038006
989,1008297
-991,951152
990,931698
-992,1088955
991,839693
-993,1002478
992,850428
-994,1061416
993,879263
-995,847974
994,988340
-996,916928
995,925521
-997,1032890
996,952203
-998,853909
997,1054599
-999,1033824
998,1026418
-1000,1104022
999,869350
1000,937486
